,Title,Genre,Premiere,Runtime,IMDB Score,Language
214,Rebecca,Romantic thriller,2020-10-21,123,6.0,English
215,The Christmas Chronicles: Part Two,Christmas comedy,2020-11-25,115,6.0,English
216,The Kissing Booth,Romantic comedy,2018-05-11,105,6.0,English
217,The Princess Switch,Romantic comedy,2018-11-16,101,6.0,English
218,To All the Boys: P.S. I Still Love You,Romantic comedy,2020-02-12,102,6.0,English
219,War Machine,War-Comedy,2017-05-26,122,6.0,English
220,6 Underground,Action,2019-12-13,128,6.1,English
221,Between Two Ferns: The Movie,Comedy,2019-09-20,82,6.1,English
222,Burning Sands,Drama,2017-03-10,102,6.1,English
223,Casting JonBenet,Documentary,2017-04-28,80,6.1,English
224,Deidra & Laney Rob a Train,Drama,2017-03-17,94,6.1,English
225,Finding 'Ohana,Family,2021-01-29,123,6.1,English
226,Holidate,Romantic comedy/Holiday,2020-10-28,104,6.1,English
227,Holiday in the Wild,Adventure-romance,2019-11-01,85,6.1,English
228,Hot Girls Wanted,Documentary,2015-05-29,84,6.1,English
229,Like Father,Comedy,2018-08-03,103,6.1,English
230,Lost Girls,Crime drama,2020-03-13,95,6.1,English
231,Otherhood,Comedy,2019-08-02,100,6.1,English
232,Pee-wee's Big Holiday,Adventure,2016-03-18,89,6.1,English
233,Rogue City,Crime drama,2020-10-30,116,6.1,French
234,Sergio,Biopic,2020-04-17,118,6.1,English
235,Stuck Apart,Drama,2021-01-08,96,6.1,Turkish
236,Tersanjung the Movie,Drama,2021-04-01,114,6.1,Indonesian
237,The Killer,Western,2017-11-10,99,6.1,Portuguese
238,The Lovebirds,Romantic comedy,2020-05-22,87,6.1,English
239,The Most Hated Woman in America,Biopic,2017-03-24,92,6.1,English
240,The Perfection,Horror-thriller,2019-05-24,90,6.1,English
241,Tribhanga � Tedhi Medhi Crazy,Drama,2021-01-15,95,6.1,Hindi
242,Unknown Origins,Thriller,2020-08-28,96,6.1,Spanish
243,Work It,Dance comedy,2020-08-07,93,6.1,English
244,Alien Xmas,Stop Motion,2020-11-20,42,6.2,English
245,Baggio: The Divine Ponytail,Biopic,2021-05-26,92,6.2,Italian
246,Below Zero,Drama,2021-01-29,106,6.2,Spanish
247,Citation,Drama,2020-11-06,151,6.2,English
248,Crazy Awesome Teachers,Comedy-drama,2020-08-17,101,6.2,Indonesian
249,Have You Ever Seen Fireflies?,Comedy,2021-04-09,114,6.2,Turkish
250,High Flying Bird,Sports-drama,2019-02-08,90,6.2,English
251,In the Shadow of the Moon,Thriller,2019-09-27,115,6.2,English
252,Lost Bullet,Thriller,2020-06-19,92,6.2,French
253,Octonauts & the Caves of Sac Actun,Animation,2020-08-14,72,6.2,English
254,Offering to the Storm,Thriller,2020-07-24,139,6.2,Spanish
255,Roxanne Roxanne,Biopic,2018-03-23,98,6.2,English
256,Someone Great,Romantic comedy,2019-04-19,92,6.2,English
257,Spenser Confidential,Action comedy,2020-03-06,111,6.2,English
258,The Land of Steady Habits,Drama,2018-09-14,98,6.2,English
259,The Rachel Divide,Documentary,2018-04-27,104,6.2,English
260,Voyuer ,Documentary,2017-12-01,95,6.2,English
261,Win It All,Comedy,2017-04-07,88,6.2,English
262,1922,Horror/Crime drama,2017-10-20,102,6.3,English
263,A Tale of Two Kitchens,Documentary,2019-05-22,30,6.3,English/Spanish
264,Alex Strangelove,Romantic comedy,2018-06-08,99,6.3,English
265,Apostle,Horror-thriller,2018-10-12,129,6.3,English
266,Benji,Family film,2018-03-16,87,6.3,English
267,Bright,Urban fantasy,2017-12-22,117,6.3,English
268,Cargo,Drama/Horror,2018-05-18,104,6.3,English
269,Concrete Cowboy,Drama,2021-04-02,111,6.3,English
270,Feel the Beat,Family/Comedy-drama,2020-06-19,107,6.3,English
271,Get the Goat,Comedy,2021-03-18,97,6.3,Portuguese
272,I Am Not an Easy Man,Romantic comedy,2018-04-13,98,6.3,French
273,June & Kopi,Drama,2021-01-28,90,6.3,Indonesian
274,Music Teacher,Drama,2019-04-19,101,6.3,Hindi
275,Nail Bomber: Manhunt,Documentary,2021-05-26,72,6.3,English
276,Notes for My Son,Drama,2020-11-24,83,6.3,Spanish
277,Polar,Action,2019-01-25,118,6.3,English
278,Porta dos Fundos: The Last Hangover,Comedy,2018-12-21,44,6.3,Portuguese
279,Sand Castle,War,2017-04-21,113,6.3,English
280,Shimmer Lake,Crime thriller,2017-06-09,86,6.3,English
281,Spectral,Science fiction/Action,2016-12-09,108,6.3,English
282,The Babysitter,Teen comedy horror,2017-10-13,85,6.3,English
283,The Discovery,Science fiction/Drama,2017-03-31,102,6.3,English
284,The Forest of Love,Drama,2019-10-11,151,6.3,Japanese
285,The Laundromat,Comedy-drama,2019-10-18,98,6.3,English
286,The Legend of Cocaine Island,Documentary,2019-03-29,87,6.3,English
287,The Outsider,Crime drama,2018-03-09,120,6.3,English/Japanese
288,Time to Hunt,Thriller,2020-04-23,134,6.3,Korean
289,To All the Boys: Always and Forever,Romantic comedy,2021-02-12,109,6.3,English
290,Travis Scott: Look Mom I Can Fly,Documentary,2019-08-28,85,6.3,English
291,Uncorked,Drama,2020-03-27,103,6.3,English
292,Anelka: Misunderstood,Documentary,2020-08-05,94,6.4,French
293,"Ariana Grande: Excuse Me, I Love You",Concert Film,2020-12-21,97,6.4,English
294,ARQ,Science fiction/Thriller,2016-09-16,88,6.4,English
295,Birders,Documentary,2019-09-25,37,6.4,English/Spanish
296,Como Ca�do del Cielo,Musical comedy,2019-12-24,112,6.4,Spanish
297,First Match,Sports-drama,2018-03-30,102,6.4,English
298,Fractured,Thriller,2019-10-11,100,6.4,English
299,Irreplaceable You,Drama,2018-02-16,96,6.4,English
300,Isi & Ossi,Romantic comedy,2020-02-14,113,6.4,German
301,John Was Trying to Contact Aliens,Documentary,2020-08-20,16,6.4,English
302,Layla Majnun,Romantic drama,2021-02-11,119,6.4,Indonesian
303,Murder to Mercy: The Cyntoia Brown Story,Documentary,2020-04-29,97,6.4,English
304,My Own Man,Documentary,2014-12-13,81,6.4,English
305,Nappily Ever After,Comedy-drama,2018-09-21,98,6.4,English
306,Over the Moon,Animation/Musical/Adventure,2020-10-23,95,6.4,English
307,Street Flow,Drama,2019-10-12,96,6.4,French
308,Strong Island,Documentary,2017-09-15,107,6.4,English
309,Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,2019-09-27,41,6.4,English
310,Take Your Pills,Documentary,2018-03-16,87,6.4,English
311,The Heartbreak Club,Comedy-drama,2021-01-14,101,6.4,Indonesian
312,The Mars Generation,Documentary,2017-05-05,97,6.4,English
313,The Occupant,Thriller,2020-03-25,103,6.4,Spanish
314,The Willoughbys,Animation/Comedy/Adventure,2020-04-22,90,6.4,English
315,Triple Frontier,Action-thriller,2019-03-13,125,6.4,English
316,Two Catalonias,Documentary,2018-09-28,116,6.4,Spanish/Catalan
317,Walk. Ride. Rodeo.,Drama,2019-03-08,99,6.4,English
318,Wheelman,Action thriller,2017-10-20,82,6.4,English
319,When We First Met,Romantic comedy,2018-02-09,97,6.4,English
320,A 3 Minute Hug,Documentary,2019-10-28,28,6.5,English/Spanish
321,All the Bright Places,Romance,2020-02-28,108,6.5,English
322,All Together Now,Drama,2020-08-28,93,6.5,English
323,Altered Carbon: Resleeved,Anime/Science fiction,2020-03-19,74,6.5,Japanese
324,Antoine Griezmann: The Making of a Legend,Documentary,2019-03-21,60,6.5,French
325,Canvas ,Animation / Short,2020-12-11,9,6.5,English
326,Chadwick Boseman: Portrait of an Artist,Documentary,2021-04-17,21,6.5,English
327,Chopsticks,Comedy,2019-05-31,100,6.5,Hindi
328,Da 5 Bloods,War drama,2020-06-12,155,6.5,English
329,Dolly Parton: A MusiCares Tribute,Documentary,2021-04-07,55,6.5,English
330,Eurovision Song Contest: The Story of Fire Saga,Musical comedy,2020-06-26,123,6.5,English
331,Gerald's Game,Horror thriller,2017-09-29,103,6.5,English
332,His House,Thriller,2020-10-30,93,6.5,English
333,Jingle Jangle: A Christmas Journey,Family/Christmas musical,2020-11-13,119,6.5,English
334,Life Overtakes Me,Documentary,2019-06-14,40,6.5,English/Swedish
335,Lust Stories,Drama,2018-06-15,120,6.5,Hindi
336,Monster,Drama,2021-05-07,98,6.5,English
337,Mowgli: Legend of the Jungle,Adventure,2018-12-07,104,6.5,English
338,Nobody Knows I'm Here,Drama,2020-06-24,91,6.5,Spanish
339,Nobody Speak: Trials of the Free Press,Documentary,2017-06-23,95,6.5,English
340,Oxygen,Science fiction thriller,2021-05-12,101,6.5,French
341,Set It Up,Romantic comedy,2018-06-15,105,6.5,English
342,The Incredible Jessica James,Comedy,2017-07-28,83,6.5,English
343,Tigertail,Drama,2020-04-10,91,6.5,English/Taiwanese/Mandarin
344,Tramps,Romance,2017-04-21,83,6.5,English
345,What Did Jack Do?,Drama / Short,2020-01-20,17,6.5,English
346,Bad Trip,Hidden-camera prank comedy,2021-03-26,86,6.6,English
347,Bird Box,Psychological thriller,2018-12-21,124,6.6,English
348,Bulbbul,Horror,2020-06-24,94,6.6,Hindi
349,Crazy About Her,Romantic comedy,2021-02-26,102,6.6,Spanish
350,Elisa & Marcela,Romance,2019-06-07,118,6.6,Spanish
351,I'll Sleep When I'm Dead,Documentary,2016-08-19,79,6.6,English
352,I'm Thinking of Ending Things,Psychological thriller,2020-09-04,134,6.6,English
353,It Takes a Lunatic,Documentary,2019-10-25,126,6.6,English
354,Milestone,Drama,2021-05-07,98,6.6,Hindi
355,Recovery Boys,Documentary,2018-06-29,89,6.6,English
356,ReMastered: Who Killed Jam Master Jay?,Documentary,2018-12-07,58,6.6,English
357,Shawn Mendes: In Wonder,Documentary,2020-11-23,83,6.6,English
358,Space Sweepers,Science fiction,2021-02-05,136,6.6,Korean
359,The American Meme,Documentary,2018-12-07,98,6.6,English
360,The Angel,Spy thriller,2018-09-14,114,6.6,English
361,The Crimes That Bind,Crime drama,2020-08-20,99,6.6,Spanish
362,The Red Sea Diving Resort,Spy thriller,2019-07-31,130,6.6,English
363,What Would Sophia Loren Do?,Documentary,2021-01-15,32,6.6,English
364,A Whisker Away,Anime/Fantasy,2020-06-18,104,6.7,Japanese
365,Ajeeb Daastaans,Drama,2021-04-16,142,6.7,Hindi
366,Arlo the Alligator Boy,Animated musical comedy,2021-04-16,92,6.7,English
367,"Bikram: Yogi, Guru, Predator",Documentary,2019-11-20,86,6.7,English
368,Blame!,Anime/Science fiction,2017-05-20,106,6.7,Japanese
369,Blue Miracle,Drama,2021-05-27,95,6.7,English
370,CounterPunch ,Documentary,2017-06-16,91,6.7,English
371,"Crack: Cocaine, Corruption & Conspiracy",Documentary,2021-01-11,89,6.7,English
372,Extraction,Action,2020-04-24,117,6.7,English
373,Giving Voice,Documentary,2020-12-11,90,6.7,English
374,Hillbilly Elegy,Drama,2020-11-24,117,6.7,English
375,Hope Frozen: A Quest to Live Twice,Documentary,2020-09-15,80,6.7,Thia/English
376,Imperial Dreams,Drama,2017-02-03,87,6.7,English
377,Just Another Christmas,Comedy,2020-12-03,101,6.7,Portuguese
378,Little Miss Sumo,Documentary,2019-10-28,19,6.7,Japanese
379,Malcolm & Marie,Romantic drama,2021-02-05,106,6.7,English
380,"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,2017-02-07,54,6.7,English
381,Moxie,Drama,2021-03-03,111,6.7,English
